NP,PF,DD,Tr,AP,AK,ADP,MV,SC,EX_SC,NL,Score
10203.0,1.2811750764736682,713.0,3019,3,0.01,17,"(13, 28, 8)",3,3,20,11440.424737669207
10103.0,1.2783118922343737,699.0,3016,4,0.01,17,"(13, 28, 8)",3,3,20,11330.746663663693
10100.0,1.2843708646563616,745.0,2854,3,0.01,18,"(13, 28, 8)",3,3,20,11289.944067040255
10037.0,1.2830832581227436,742.0,2849,4,0.01,18,"(13, 28, 8)",3,3,20,11214.129799528018
10037.0,1.2763719470220558,760.0,3039,3,0.01,17,"(11, 29, 9)",3,3,20,11120.612180781576
8992.0,1.4990841982572016,1063.0,1157,3,0.01,12,"(11, 28, 8)",3,4,20,11116.415232334452
8952.0,1.49741623603934,1035.0,1143,3,0.01,12,"(13, 29, 9)",3,4,20,11105.940468122759
8967.0,1.4969243557772236,1061.0,1156,3,0.01,12,"(11, 29, 8)",3,4,20,11073.189818721634
8970.0,1.495963728851045,1062.0,1153,3,0.01,12,"(12, 29, 8)",3,4,20,11067.95995364061
9948.0,1.273289195351776,723.0,3015,3,0.01,17,"(13, 29, 8)",3,3,20,11066.46943505108
8979.0,1.4979480922803905,1086.0,1160,3,0.01,12,"(11, 27, 8)",3,4,20,11050.013079679286
9919.0,1.2786627335299903,749.0,2846,3,0.01,18,"(13, 29, 8)",3,3,20,11030.662422929183
8915.0,1.4944811137611627,1042.0,1147,3,0.01,12,"(12, 29, 9)",3,4,20,11025.57028234092
8962.0,1.4989977728285078,1094.0,1115,3,0.01,13,"(11, 28, 8)",3,4,20,11022.331834664496
9947.0,1.2738711453744493,748.0,3036,4,0.01,17,"(11, 29, 9)",3,3,20,11022.265381906444
8964.0,1.4978617050819216,1095.0,1111,3,0.01,13,"(12, 29, 8)",3,4,20,11014.628650003564
9949.0,1.2722173579949656,749.0,3067,3,0.01,17,"(12, 28, 8)",3,3,20,11008.254039565067
8950.0,1.497913769123783,1094.0,1115,3,0.01,13,"(11, 29, 8)",3,4,20,10999.612925547965
8950.0,1.4942293887017506,1082.0,1157,3,0.01,12,"(12, 27, 8)",3,4,20,10994.206699178452
9884.0,1.2722565006610842,719.0,3001,4,0.01,17,"(11, 27, 10)",3,3,20,10994.040262750617
9896.0,1.2717039152160783,724.0,3033,3,0.01,17,"(13, 27, 8)",3,3,20,10992.99610847162
9888.0,1.271790220169869,720.0,3016,3,0.01,17,"(12, 27, 9)",3,3,20,10992.536448461246
8945.0,1.4938169371756653,1078.0,1155,3,0.01,12,"(12, 28, 8)",3,4,20,10992.26102586075
8877.0,1.4932214690521168,1030.0,1141,3,0.01,12,"(13, 27, 10)",3,4,20,10991.150066978144
8878.0,1.4974226804123711,1048.0,1029,3,0.01,16,"(13, 29, 9)",3,4,10,10990.508066055747
9897.0,1.272374504623514,731.0,3007,3,0.01,17,"(11, 27, 10)",3,3,20,10986.468742155748
9857.0,1.2777245576467937,733.0,2833,3,0.01,18,"(12, 29, 9)",3,3,20,10984.241204190166
9870.0,1.271781033153431,715.0,3005,3,0.01,17,"(12, 28, 9)",3,3,20,10982.046191797343
8886.0,1.4925720620842573,1039.0,1146,3,0.01,12,"(11, 28, 10)",3,4,20,10981.11884722695
8880.0,1.492594441670827,1036.0,1146,3,0.01,12,"(13, 27, 9)",3,4,20,10979.322930779443
8914.0,1.4927311923055664,1061.0,1152,3,0.01,12,"(11, 29, 9)",3,4,20,10976.90632586357
8905.0,1.496100278551532,1069.0,1102,3,0.01,13,"(13, 29, 9)",3,4,20,10976.085830039045
9933.0,1.2725102880658437,759.0,3051,3,0.01,17,"(11, 28, 9)",3,3,20,10973.992612743554
8885.0,1.4916445329791943,1039.0,1149,3,0.01,12,"(12, 28, 9)",3,4,20,10973.059840635984
8873.0,1.492533999444907,1036.0,1144,3,0.01,12,"(12, 27, 10)",3,4,20,10970.223804733812
9802.0,1.2767206820619954,706.0,2827,4,0.01,18,"(12, 29, 9)",3,3,20,10966.01483138072
8885.0,1.4906129210381005,1043.0,1149,3,0.01,12,"(13, 29, 8)",3,4,20,10958.212645559755
8865.0,1.4919806870525556,1036.0,1144,3,0.01,12,"(13, 28, 9)",3,4,20,10956.269707356614
8866.0,1.4965833986781674,1058.0,1031,3,0.01,16,"(12, 29, 9)",3,4,10,10951.393539683584
8818.0,1.496117925059075,1024.0,1019,3,0.01,16,"(11, 28, 8)",3,4,20,10950.172529192334
8942.0,1.4972750528306085,1117.0,1118,3,0.01,13,"(11, 27, 8)",3,4,20,10943.790683677702
9834.0,1.2703356516480193,708.0,3011,4,0.01,17,"(12, 27, 9)",3,3,20,10942.957952265788
9829.0,1.2697828891389675,703.0,3012,4,0.01,17,"(13, 29, 8)",3,3,20,10942.21989948002
8944.0,1.4961171510982916,1115.0,1115,3,0.01,13,"(12, 27, 8)",3,4,20,10941.350612774424
8850.0,1.49627095833567,1052.0,1029,3,0.01,16,"(13, 27, 9)",3,4,10,10940.183394969166
8939.0,1.4957023235179947,1111.0,1113,3,0.01,13,"(12, 28, 8)",3,4,20,10939.357772809159
8854.0,1.4912066574202496,1035.0,1143,3,0.01,12,"(12, 28, 10)",3,4,20,10938.810061970911
8882.0,1.4909352199867345,1053.0,1149,3,0.01,12,"(11, 27, 10)",3,4,20,10938.77963317543
9918.0,1.269826155562206,757.0,3080,3,0.01,17,"(12, 27, 8)",3,3,20,10938.106488506131
8907.0,1.4920450778919456,1077.0,1154,3,0.01,12,"(11, 28, 9)",3,4,20,10934.38004672006
