NP,PF,DD,Tr,ARS_E,ARS_A,ARS_M,MOM,BRK,TP,TS
6272.0,1.141647282007272,2344.0,4632,8,10,0.5,3,18,4.5,1.0
6272.0,1.141647282007272,2344.0,4632,8,10,0.5,3,18,4.5,1.2
6062.0,1.1399030694668821,2445.0,4436,8,10,0.5,3,20,4.5,1.0
6062.0,1.1399030694668821,2445.0,4436,8,10,0.5,3,20,4.5,1.2
6018.0,1.1359109284310847,2344.0,4632,8,10,0.5,3,18,5.0,1.0
6000.0,1.135504415185528,2344.0,4632,8,10,0.5,3,18,5.0,1.2
5923.0,1.1337654418573138,2344.0,4632,8,10,0.5,3,18,5.5,1.0
5919.0,1.1337506214127537,2344.0,4632,8,10,0.5,3,18,4.5,0.8
5905.0,1.1333589286117574,2344.0,4632,8,10,0.5,3,18,5.5,1.2
5808.0,1.1340410800830834,2445.0,4436,8,10,0.5,3,20,5.0,1.0
5790.0,1.1336256635125779,2445.0,4436,8,10,0.5,3,20,5.0,1.2
5713.0,1.1318486037387492,2445.0,4436,8,10,0.5,3,20,5.5,1.0
5695.0,1.1314331871682437,2445.0,4436,8,10,0.5,3,20,5.5,1.2
5684.0,1.1311793214862682,2445.0,4436,8,10,0.5,3,20,4.5,0.8
5682.0,1.1283951733176663,2344.0,4632,8,10,0.5,3,18,5.0,0.8
5670.0,1.133421182671718,2456.0,4250,8,10,0.5,3,22,4.5,1.2
5670.0,1.133421182671718,2456.0,4250,8,10,0.5,3,22,4.5,1.0
5546.0,1.1305033296467986,2456.0,4250,8,10,0.5,3,22,5.0,1.0
5535.0,1.1250734396890676,2344.0,4632,8,10,0.5,3,18,5.5,0.8
5520.0,1.1298915217544767,2456.0,4250,8,10,0.5,3,22,5.0,1.2
5451.0,1.1282678777325459,2456.0,4250,8,10,0.5,3,22,5.5,1.0
5447.0,1.1257096699746134,2445.0,4436,8,10,0.5,3,20,5.0,0.8
5425.0,1.127656069840224,2456.0,4250,8,10,0.5,3,22,5.5,1.2
5300.0,1.1223171013154858,2445.0,4436,8,10,0.5,3,20,5.5,0.8
5292.0,1.1245264371602701,2456.0,4250,8,10,0.5,3,22,4.5,0.8
5185.0,1.122008612372638,2456.0,4250,8,10,0.5,3,22,5.0,0.8
5038.0,1.1185495446737417,2456.0,4250,8,10,0.5,3,22,5.5,0.8
